personid,treatment,performance,performance_pre,age,tenure,basewage,costofcommute,children,bedroom,expgroup,men,married
40490,1,-0.11804115,-0.094636105,21,8,1450,10,no,yes,1,1,0
41286,1,-0.2232734,-0.02529658,23,6,1466.6666,10,no,yes,1,1,0
41318,1,-0.012958862,-1.2596043,22,6,1466.6666,10,no,yes,1,0,0
41320,1,-0.61005628,-0.31906465,22,6,1411.1111,10,no,yes,1,1,0
41332,0,-1.593558,-0.39211935,22,6,1422.2222,6,no,yes,0,1,0
41818,1,-0.42926973,-0.12134121,23,6,1422.2222,0,no,yes,1,0,0
42096,0,-2.1337552,-0.36624923,23,5,1411.1111,8,no,yes,0,1,0
42104,1,-0.49606562,-0.33475247,21,5,1411.1111,0,no,yes,1,0,0
42108,1,0.44714886,0.33541527,23,5,1411.1111,12,no,yes,1,1,0
42140,0,0.97583425,-0.07073494,25,5,1466.6666,15,yes,yes,0,1,1
42146,0,0.015263416,-0.04130923,21,5,1411.1111,4,no,yes,0,1,0
42152,0,0.090847306,0.17874916,25,5,1411.1111,20,no,yes,0,1,0
42308,1,-0.59001195,-0.11561139,23,5,1411.1111,12,no,yes,1,0,1
42592,1,-0.21126534,0.042018514,23,4,1466.6666,8,no,yes,1,0,0
42618,1,-1.071727,-0.95753944,22,4,1466.6666,2,no,yes,1,1,0
42624,1,0.6852777,0.32374704,23,4,1466.6666,10,no,yes,1,0,0
42628,1,-0.03881922,-0.37955287,22,4,1466.6666,10,no,yes,1,1,0
42632,0,-0.15094399,0.12251674,21,4,1466.6666,12,no,yes,0,0,0
42634,0,-0.82166517,-1.0077969,20,4,1466.6666,0,no,yes,0,1,0
42682,0,-3.0149708,0.38023219,22,4,1466.6666,16,no,yes,0,0,1
43258,0,-0.64024198,-0.8111794,22,3,1457.1428,8,no,yes,0,1,0
43264,1,-0.73621076,-1.1921372,22,3,1300,12,no,yes,1,1,0
43270,1,-1.0688424,-0.98646373,25,3,1457.1428,16,no,yes,1,0,0
43278,1,-0.10568639,-0.3989113,23,3,1457.1428,10,no,yes,1,0,0
43286,1,-0.078662932,-0.066075318,20,3,1457.1428,5,no,yes,1,0,0
43288,1,-1.4889405,-1.0929021,21,3,1471.4286,6,no,yes,1,1,0
43500,0,1.316907,0.27930355,27,3,1457.1428,10,yes,yes,0,0,1
43524,0,-0.96469605,-0.96428031,24,3,1457.1428,10,no,yes,0,1,0
43534,1,-0.1849664,-0.63946182,23,3,1457.1428,10,no,yes,1,1,0
43570,0,-0.93426406,-0.8791104,18,3.5,1400,12,no,yes,0,1,0
43926,1,-0.62675142,-0.6409058,22,3,1500,0,no,yes,1,1,0
44256,0,-0.80292869,-0.76875973,21,2.5,1500,0,no,yes,0,0,0
44266,1,-0.7820183,-1.1966077,19,2.5,1500,17,no,yes,1,1,0
44282,0,-0.26830268,-0.31786045,20,2.5,1500,12,no,yes,0,0,0
44408,1,0.41094193,-0.33302879,22,2.5,1500,10,no,yes,1,0,0
44782,1,0.057903696,-0.13177224,23,2,1500,0,no,yes,1,1,0
44784,1,-0.51251823,-0.74381763,31,2,1500,0,no,yes,1,1,0
44794,0,-1.961498,-1.0718768,23,3,1500,10,no,yes,0,1,0
44800,0,-0.54041982,-0.36135009,25,2,1500,12,no,yes,0,1,0
45238,1,0.69491816,-0.044172138,22,2,1500,4,no,yes,1,1,0
45254,0,-1.1610111,-1.1018978,23,2,1500,4,no,yes,0,1,0
45442,0,-1.0220587,-0.9931348,22,2.5,1500,0,no,yes,0,1,0
