personid,wfh,age,tenure,grosswage,children,bedroom,commute,men,married,high_educ
27540,0,27,29,3.0060413,no,yes,90,0,0,0
27544,0,23,29,4.0312033,no,no,80,0,0,1
27726,0,24,28,3.41469,no,no,40,0,0,1
27762,0,24,28,3.0689321,no,no,30,0,0,1
27764,0,25,28,3.1251032,no,no,40,0,0,1
27772,0,24,28,3.3379233,no,yes,100,0,0,1
27824,0,25,28,2.4968133,no,no,60,0,0,1
27844,0,25,28,4.1549602,no,yes,30,0,0,1
27882,0,20,28,3.2835288,no,no,40,1,0,0
27916,0,21,28,3.397579,no,no,30,0,0,0
27924,0,24,28,3.6947865,no,no,60,1,0,0
28162,0,25,27,2.8748934,no,yes,20,0,1,1
28164,0,22,27,3.4205945,no,no,50,0,0,1
28202,0,23,27,3.9591124,no,no,40,0,0,1
28204,0,22,27,2.4714944,no,yes,180,1,0,0
28400,0,23,27,3.316999,no,no,50,0,0,1
28402,0,23,27,3.5548458,no,yes,20,1,0,1
28484,0,23,27,2.09901,yes,yes,120,0,1,0
28528,0,27,27,4.6637621,yes,yes,30,0,1,1
28552,0,20,27,3.9057133,no,no,35,1,0,1
28554,0,19,27,3.3641467,no,no,35,0,0,0
28556,0,24,27,3.2176633,no,no,120,1,0,0
28560,0,20,27,2.9997089,no,yes,160,0,0,1
28572,0,21,27,3.8881876,no,no,24,0,0,0
28646,0,22,26,3.2593431,no,no,30,0,0,1
28656,0,23,26,2.2167034,no,yes,120,0,1,0
28666,0,23,26,2.5683868,no,no,40,0,0,1
28676,0,23,26,3.1139877,no,no,20,1,0,1
28700,0,22,26,2.9848545,no,yes,20,0,0,1
28756,0,23,26,3.3685501,no,no,40,0,0,1
28786,0,25,26,3.2803476,no,no,30,1,0,1
28796,0,24,26,4.4402142,no,no,40,1,0,0
28802,0,24,26,3.8384387,no,no,35,1,0,1
28950,0,22,26,4.0693069,no,no,30,0,0,0
28956,0,21,26,2.7902412,no,no,30,0,0,0
28990,0,20,26,4.2553997,no,no,40,0,0,0
29010,0,22,26,2.4783833,no,no,120,0,1,0
29012,0,20,26,1.2744288,no,yes,40,0,0,0
29014,0,21,26,2.9242265,no,no,60,0,0,1
29024,0,26,26,2.5902634,no,yes,160,1,0,0
29030,0,28,26,2.4293523,no,yes,180,1,0,0
29032,0,23,26,2.6952755,no,yes,120,1,0,0
29192,0,29,26,3.8379033,no,yes,120,1,0,1
29218,0,24,26,3.4329321,no,yes,30,0,0,1
29226,0,24,26,3.5465789,no,no,30,0,0,1
29230,0,24,26,3.4854589,no,yes,70,0,0,1
29232,0,22,26,3.6738088,no,no,60,0,0,0
29234,0,21,26,2.6662688,no,no,40,0,0,1
29240,0,25,26,2.5492635,no,yes,170,1,0,1
29250,0,23,26,3.3382566,no,no,104,0,0,1
29254,0,23,26,2.983391,no,no,50,0,0,1
29256,0,24,26,3.0030389,no,no,60,0,0,1
29550,0,21,26,2.3769021,no,no,30,0,0,0
29558,0,25,26,3.9397457,no,yes,80,1,1,0
29564,0,22,26,3.268261,no,no,80,0,0,1
29594,0,23,26,3.6993778,no,yes,120,0,0,1
29622,0,22,26,3.0297511,no,no,40,0,0,1
29626,0,23,26,3.5540123,no,yes,40,1,0,1
29734,0,21,25,4.4828634,no,no,30,0,0,1
29746,0,23,25,2.9760733,no,yes,40,0,0,1
29750,0,22,25,2.7162199,no,yes,40,0,0,1
29770,0,24,25,4.3264756,no,yes,35,0,0,1
29790,0,22,25,2.5431232,no,yes,120,0,0,0
29808,0,25,25,3.0939734,yes,yes,32,1,1,1
29838,0,26,25,3.9435601,yes,yes,60,1,1,1
29964,0,26,25,2.4840245,yes,yes,160,0,1,1
30002,0,26,25,3.3996856,no,yes,200,1,0,1
30092,0,21,25,3.4670389,no,no,60,0,0,1
30206,0,23,25,3.0371256,no,yes,30,1,0,1
30214,0,26,25,2.7474189,no,yes,40,0,1,1
30216,0,25,25,3.018311,no,yes,30,1,1,1
30220,0,22,25,3.3741033,no,yes,24,0,0,1
30234,0,24,25,3.0052035,no,no,27,0,0,1
30240,0,23,25,2.665659,no,no,60,0,0,1
30244,0,22,25,2.7403345,no,no,20,0,0,1
30262,0,25,25,3.5217209,no,yes,40,1,0,1
30276,0,21,25,3.1930234,no,yes,120,1,0,0
30366,0,22,25,2.8957765,no,no,30,0,0,0
30378,0,21,25,2.4742501,no,no,40,0,0,1
30392,0,22,25,2.8980632,no,no,60,0,0,1
30398,0,26,25,2.4336476,no,yes,30,1,0,0
30410,0,23,25,2.8438201,no,no,60,0,0,1
30436,0,23,25,2.6997821,no,no,120,0,0,1
30440,0,23,25,4.0129824,no,no,40,1,0,1
30448,0,23,25,3.5930345,no,yes,60,1,0,1
30460,0,25,25,3.270689,no,no,40,0,0,0
30470,0,22,25,2.7839835,no,no,60,0,0,0
30634,0,23,25,3.2355044,no,yes,30,1,0,1
30858,0,26,25,3.7772722,no,yes,30,0,0,1
30998,0,23,24,3.023452,no,yes,130,1,0,0
31014,0,24,20,1.9349999,no,no,120,0,0,0
31114,0,28,24,2.56603,no,yes,90,0,0,1
31150,0,23,24,2.5736222,no,yes,60,0,0,1
31206,0,22,24,2.49878,no,yes,180,1,0,1
31238,0,25,24,2.8582709,no,no,60,0,0,0
31436,0,20,24,2.6830223,no,no,40,1,0,0
31886,0,24,23,2.76421,no,no,20,0,0,1
31894,0,25,23,2.6331034,no,yes,60,0,0,1
31922,0,26,23,2.7839034,no,yes,35,0,0,1
32004,0,22,23,3.53777,no,no,80,0,0,0
32320,0,22,23,4.5784731,no,yes,60,0,0,0
32722,0,22,23,2.6374743,no,yes,80,0,0,0
32728,0,19,23,2.8803453,no,no,30,0,0,0
32804,0,23,23,2.4055622,no,yes,75,1,0,1
33094,0,23,22,3.1238844,no,yes,45,1,0,1
33136,0,23,25,3.5382211,no,no,35,0,0,1
33352,0,20,22,1.8107578,no,yes,120,1,0,0
33366,0,25,22,3.2333767,no,yes,40,1,0,1
33406,0,28,22,2.5894167,no,yes,60,0,0,0
33410,0,25,22,2.6481922,yes,yes,14,1,1,0
33634,0,22,22,4.146771,no,yes,60,0,0,0
33664,0,19,22,3.6367931,no,no,60,0,0,0
33874,0,22,22,2.8625379,no,yes,24,0,0,0
33982,0,22,22,3.7792344,no,no,20,1,0,0
34110,0,29,22,2.5770199,yes,yes,50,1,1,0
34396,0,24,21,3.7040522,no,yes,40,0,0,1
34526,0,27,21,2.3073802,yes,yes,180,0,1,0
34542,0,21,21,3.2561066,no,no,30,0,0,0
34890,0,24,21,2.2445667,no,yes,200,1,0,0
34956,0,23,21,2.1504068,no,yes,16,0,0,1
35006,0,23,21,2.41485,no,yes,10,1,1,1
35144,0,20,25,3.5906289,no,no,60,0,0,1
35408,0,27,20,3.5163388,yes,yes,180,1,1,1
35760,0,24,20,3.7003267,no,yes,2.5999999,1,1,0
35822,0,27,20,3.5905633,no,yes,120,1,0,0
36060,0,24,19,2.2917278,no,yes,35,0,0,1
36318,0,26,19,3.2498155,no,yes,120,0,0,1
36494,0,23,18,2.1946733,no,yes,40,0,0,1
36528,0,28,18,2.1318212,yes,yes,140,1,1,0
36676,0,21,18,2.6353345,no,no,135,0,0,0
37276,0,22,13,3.0966489,no,yes,90,0,0,1
37296,0,29,13,2.5851912,no,yes,80,1,0,1
37350,0,22,13,2.8080456,no,no,90,0,0,0
37358,0,23,13,1.9356611,no,yes,60,1,0,0
37588,0,23,12,2.7753832,no,no,90,0,0,0
37618,0,23,12,2.6357243,no,no,50,0,0,1
37790,0,23,12,2.3680079,no,no,50,1,0,0
37796,0,22,12,2.1919377,no,no,30,0,0,1
37800,0,21,12,2.51531,no,no,30,0,0,1
37804,0,21,12,2.4997599,no,yes,120,0,0,0
37808,0,19,12,2.8858011,no,no,20,0,0,1
37824,0,19,12,2.687099,no,yes,20,0,0,1
37832,0,25,12,3.028671,no,no,50,0,0,1
37834,0,19,12,3.0439134,no,no,30,0,0,0
37836,0,21,12,2.3035901,no,no,210,0,0,0
37840,0,18,12,1.98746,no,yes,30,1,0,0
38008,0,24,11,4.0597401,no,yes,180,1,0,0
38010,0,22,11,2.8836322,no,no,2,0,0,1
38022,0,18,11,1.9928434,no,yes,20,0,0,0
38024,0,25,11,2.6940653,no,yes,40,1,0,0
38026,0,28,11,2.8192687,no,no,120,0,0,1
38030,0,27,11,2.2042091,no,yes,240,1,0,0
38034,0,19,11,1.8545834,no,yes,40,1,0,0
38036,0,18,11,1.9276143,no,yes,120,1,0,0
38044,0,19,11,2.0092111,no,no,165,1,0,0
38048,0,19,11,2.4725711,no,no,120,0,0,0
38050,0,23,11,3.8327944,no,no,200,1,0,0
38052,0,18,11,2.0711598,no,yes,90,0,0,0
38068,0,18,11,2.1992757,no,no,160,1,0,0
38074,0,27,11,2.3509421,yes,yes,140,0,1,0
38076,0,23,11,3.7066898,no,yes,60,1,0,0
38078,0,18,11,2.1222112,no,yes,120,1,0,0
38274,0,21,11,2.5270109,no,yes,80,0,0,0
38276,0,20,11,2.4789491,no,no,25,0,0,1
38300,0,20,11,2.8186612,no,no,35,0,0,0
38302,0,22,11,2.4542255,no,no,30,0,0,0
38320,0,20,11,2.593081,no,no,40,0,0,0
38326,0,22,11,2.9208155,no,no,40,0,0,0
38552,0,23,10,3.5765367,no,yes,30,1,0,0
38592,0,23,10,2.6633444,no,yes,60,0,0,0
38714,0,21,10,2.7004857,no,no,45,0,0,0
38716,0,23,10,2.5683677,no,no,20,0,0,0
38718,0,21,10,2.4642091,no,no,40,0,0,1
38726,0,21,10,2.6812811,no,no,50,0,0,0
38728,0,20,10,2.5049443,no,no,30,0,0,0
38730,0,21,10,2.5032923,no,yes,30,0,0,0
38732,0,21,10,2.507771,no,no,40,0,0,1
38736,0,22,10,2.534219,no,no,50,0,0,0
38738,0,21,10,2.7872367,no,no,50,0,0,0
38742,0,21,10,2.5002377,no,yes,60,0,0,1
38760,0,20,10,2.6375744,no,no,40,0,0,0
38762,0,21,10,2.9764121,no,no,60,0,0,0
38768,0,20,10,2.5964656,no,no,20,0,0,1
38772,0,21,10,2.625809,no,no,30,0,0,1
38836,0,21,10,2.4412134,no,no,30,0,0,0
38840,0,21,10,2.555459,no,no,30,0,0,0
38842,0,19,10,2.0195177,no,yes,140,1,0,0
38848,0,21,10,2.5965521,no,no,35,0,0,0
38850,0,21,10,2.7639146,no,no,30,0,0,0
38854,0,24,10,2.4937277,no,no,24,0,0,0
38862,0,19,10,2.0092523,no,yes,20,0,0,0
38868,0,22,10,2.5090065,no,yes,93,1,0,1
38870,0,22,10,2.4790301,no,yes,40,1,0,1
38874,0,19,10,1.9677378,no,yes,240,1,0,0
38888,0,19,10,2.2233968,no,yes,240,0,0,0
38892,0,21,10,2.4173367,no,no,30,1,0,0
38896,0,18,10,2.0856776,no,yes,20,0,0,0
39048,0,22,10,2.6040044,no,yes,50,1,0,0
39078,0,21,10,3.6236777,no,yes,41,0,0,0
39086,0,28,10,2.7991424,no,no,180,0,0,1
39088,0,19,10,2.0711377,no,yes,140,0,0,0
39094,0,22,10,2.432162,no,yes,60,1,0,1
39096,0,25,10,2.4575953,no,yes,200,1,0,0
39098,0,22,10,2.4851246,no,yes,90,0,0,0
39110,0,20,10,2.3530378,no,no,24,0,0,0
39112,0,18,10,2.1679168,no,yes,120,0,0,1
39114,0,20,10,2.340101,no,no,60,0,0,0
39116,0,18,10,2.3208389,no,yes,90,0,0,1
39122,0,19,10,2.4148467,no,no,30,0,0,0
39128,0,19,10,2.2685077,no,no,40,0,0,0
39136,0,18,10,2.141531,no,yes,300,0,0,0
39150,0,25,10,2.8164222,no,no,30,0,0,0
39158,0,19,10,2.1642709,no,yes,60,0,0,0
39162,0,18,10,2.0359499,no,no,100,0,0,0
39404,0,20,9,2.1452565,no,no,20,0,0,0
39420,0,18,9,2.2929022,no,no,30,0,0,0
39428,0,22,9,2.4581232,no,no,40,0,0,0
39430,0,22,9,2.5638165,no,yes,150,0,0,0
39440,0,21,9,2.3147888,no,no,35,0,0,0
39450,0,19,9,2.2553678,no,no,30,0,0,0
39454,0,18,9,2.1452613,no,no,40,0,0,0
39456,0,18,9,2.1758311,no,no,20,0,0,0
39472,0,19,9,2.0287876,no,yes,40,0,0,0
39474,0,20,9,2.31599,no,no,30,0,0,0
39478,0,22,9,2.4869344,no,yes,140,0,0,0
39488,0,23,9,2.8869355,no,no,16,0,0,1
39500,0,24,9,2.4607244,no,yes,110,1,0,1
39502,0,19,9,2.1813598,no,yes,180,0,0,0
39516,0,23,9,2.7643232,no,yes,90,0,0,1
39518,0,24,9,2.6246023,no,no,100,1,0,0
39524,0,21,9,2.1915989,no,yes,20,1,0,1
39526,0,21,9,2.5173833,no,no,120,0,0,0
39528,0,20,9,1.8804911,no,no,100,0,0,0
39530,0,21,9,2.7322366,no,yes,180,0,0,0
39534,0,28,9,4.0735111,no,yes,30,0,1,1
39540,0,20,9,3.392601,no,yes,180,1,0,0
39584,0,23,9,2.6117656,no,no,30,0,0,1
39596,0,21,9,2.5444555,no,no,40,0,0,0
39598,0,22,9,2.4739511,no,no,20,0,0,0
39600,0,24,9,2.2805846,no,no,30,1,0,1
39606,0,21,9,2.5622199,no,no,50,0,0,0
39614,0,21,9,2.5674856,no,no,30,0,0,0
39624,0,20,9,2.9942312,no,no,60,0,0,0
39626,0,21,9,2.5800779,no,yes,35,0,0,0
39628,0,21,9,2.4942834,no,no,14,0,0,0
39642,0,22,9,2.4048898,no,no,30,0,0,0
39648,0,21,9,2.3734176,no,yes,20,0,0,0
39654,0,22,9,2.5910888,no,no,10,0,0,0
39658,0,20,9,2.5237601,no,no,30,0,0,0
39660,0,20,9,2.43363,no,yes,20,0,0,0
39664,0,20,9,2.6791098,no,yes,22,0,0,0
39666,0,20,9,2.6013832,no,no,20,0,0,0
39752,0,24,9,3.3266854,no,no,100,0,0,1
39754,0,21,9,2.9838223,no,yes,40,1,0,1
39778,0,22,9,2.9864833,no,no,40,0,0,1
39794,0,21,9,3.0780644,no,no,40,1,0,0
39798,0,18,9,1.9838089,no,yes,30,1,0,0
39938,0,23,9,2.7840788,no,yes,60,0,0,1
39942,0,28,9,2.2076132,yes,yes,100,1,1,1
39948,0,23,9,2.6449299,no,no,30,0,0,1
39954,0,24,9,2.6786146,no,no,60,0,1,1
39966,0,25,9,2.6237688,no,no,45,0,1,1
39972,0,23,9,2.5542045,no,yes,40,0,0,0
39994,0,20,9,2.9200311,no,yes,60,0,0,0
40000,0,23,9,2.3360267,no,no,60,1,0,1
40002,0,20,9,2.7420344,no,yes,30,0,0,0
40008,0,20,9,2.6680057,no,yes,120,1,0,0
40018,0,22,9,2.4765911,no,yes,120,0,0,1
40034,0,19,9,2.4618301,no,yes,300,0,0,0
40044,0,23,9.5,2.3107138,no,yes,180,0,0,1
40062,0,23,9,2.2496743,no,yes,170,0,1,0
40068,0,22,9,2.2646167,no,yes,65,1,0,0
40076,0,24,9,2.0681224,no,yes,140,1,0,0
40078,0,22,9,2.84038,no,yes,30,0,0,0
40156,0,19,8,2.5676298,no,yes,20,1,0,1
40174,0,28,8,2.4065824,yes,yes,30,1,1,1
40178,0,23,8,2.4487643,no,yes,80,1,0,1
40182,0,21,8,2.0804245,no,no,40,1,0,0
40188,0,20,8,2.4512856,no,no,30,0,0,1
40216,0,24,25,3.134959,no,no,30,0,0,1
40312,0,23,8,2.4896567,no,yes,20,0,0,1
40318,0,23,8,2.6573532,no,yes,60,0,0,0
40334,0,23,8,3.0268366,no,yes,200,0,0,0
40342,0,23,8,2.5596123,no,no,120,0,0,1
40344,0,22,8,2.0979366,no,yes,120,0,1,0
40346,0,22,8,2.3013978,no,yes,120,0,0,0
40352,0,23,8,2.51021,no,no,50,1,0,1
41082,0,18,7,2.5007055,no,no,35,0,0,0
41100,0,23,7,2.6378334,no,yes,140,0,0,0
41116,0,23,7,2.7402666,no,no,150,1,0,0
41128,0,22,7,2.4057565,no,yes,120,0,0,0
41140,0,29,7,2.4869277,no,yes,90,1,1,1
41142,0,24,7,2.5200422,no,no,90,0,0,1
41156,0,20,7,2.4484098,no,yes,60,0,0,0
41274,0,21,6,2.30598,no,yes,60,0,0,0
41278,0,24,6,2.3615975,no,yes,20,0,0,1
41296,0,18,6,2.4690301,no,no,40,0,0,0
41298,0,25,6,2.215189,no,yes,90,1,0,0
41304,0,22,6,2.3107343,no,yes,2,1,0,0
41306,0,20,6,2.3874621,no,no,30,0,0,0
41308,0,24,6,2.4447365,no,no,30,0,1,0
41316,0,20,6,2.4150779,no,no,30,0,0,0
41320,0,22,6,2.0357277,no,yes,160,1,0,0
41332,0,22,6,2.2184744,no,yes,70,1,0,0
41334,0,23,6,2.3744655,no,yes,120,0,0,0
41340,0,25,6,2.0534735,no,yes,60,1,1,1
41344,0,24,6,2.2516668,no,yes,40,1,0,1
41736,0,22,6,2.2245467,no,no,40,0,0,0
41754,0,22,6,1.9151045,no,no,50,0,0,1
41780,0,23,6,2.2691445,no,no,47,0,0,1
41812,0,23,6,2.3839755,no,no,32,0,0,0
41814,0,22,6,2.0923011,no,no,30,0,0,1
41846,0,21,6,2.2940457,no,no,20,0,0,1
42096,0,23,5,1.9338323,no,yes,60,1,0,0
42098,0,21,5,2.1436677,no,yes,20,0,0,0
42104,0,21,5,2.0368733,no,yes,20,0,0,0
42110,0,23,5,2.3355234,no,yes,60,0,0,0
42112,0,22,5,2.2019689,no,yes,60,1,0,1
42120,0,20,5,2.1931677,no,no,40,0,0,0
42136,0,21,5,2.3101499,no,yes,60,0,0,0
42314,0,24,5,1.7768145,no,no,20,1,0,1
42350,0,27,5,2.1230488,no,yes,90,1,1,1
42578,0,22,4,2.3495045,no,no,20,1,0,1
42584,0,21,4,2.4338334,no,yes,25,0,0,0
42590,0,22,4,2.4269979,no,yes,90,1,0,0
42594,0,20,4,2.0382111,no,yes,90,0,0,0
42614,0,20,4,2.1441312,no,yes,60,0,0,0
42618,0,22,4,2.4991667,no,yes,30,1,0,1
42626,0,22,4,2.1080043,no,no,40,0,0,0
42634,0,20,4,2.3890445,no,yes,20,1,0,1
42682,0,22,4,2.2165678,no,yes,240,0,1,0
43254,0,21,3,2.0256157,no,yes,120,0,0,1
43266,0,20,3,2.4405427,no,no,40,0,0,1
43272,0,20,3,2.5328286,no,no,20,0,0,0
43280,0,22,3,2.16099,no,yes,20,0,0,1
43282,0,23,3,2.2363343,no,yes,65,1,0,0
43288,0,21,3,2.3061087,no,yes,105,1,0,0
43304,0,22,3,1.8463442,no,no,25,0,0,1
43310,0,22,3,2.5656571,no,no,30,0,0,1
43502,0,23,3,2.4590571,no,no,25,0,0,1
43514,0,23,3,2.4673429,no,yes,80,1,0,1
43518,0,24,3,2.4029028,no,no,180,1,0,0
43520,0,23,3,1.6894429,no,yes,80,1,0,1
43524,0,24,3,2.34497,no,yes,140,1,0,0
43526,0,24,3,2.0019844,no,no,220,0,0,0
43528,0,22,3,2.0830257,no,yes,120,1,0,1
43530,0,21,3,2.2051158,no,no,80,1,0,0
43532,0,18,3,2.4022157,no,no,20,0,0,0
43538,0,27,4,2.2302721,yes,yes,90,0,1,1
43542,0,28,4.5,1.9261174,yes,yes,30,0,1,0
43556,0,26,3.5,2.3313868,no,yes,40,0,1,0
43564,0,29,4,2.1736722,yes,yes,30,0,1,0
43568,0,22,4,2.065238,no,yes,30,0,0,0
43928,0,22,4,2.0455067,no,yes,20,0,0,1
43932,0,22,4,2.0495067,no,no,20,0,0,1
43946,0,24,3,2.2705519,no,yes,120,0,0,0
43952,0,24,3,2.2289779,no,yes,140,0,0,1
44236,0,22,2.5,1.7560683,no,yes,90,0,0,1
44238,0,24,2.5,2.4825802,no,yes,30,0,0,1
44248,0,22,2.5,2.193135,no,no,3,1,0,0
44250,0,19,2.5,1.6848617,no,no,60,0,0,0
44254,0,24,2.5,1.7204667,no,yes,60,0,1,1
44256,0,21,2.5,1.8639133,no,yes,120,0,0,0
44276,0,21,2.5,1.8383517,no,yes,60,0,0,1
44278,0,20,2.5,1.7550284,no,no,20,0,0,0
44280,0,24,2.5,1.9355867,no,no,110,1,0,1
44286,0,22,2.5,1.7338101,no,no,95,0,0,0
44288,0,23,2.5,1.8778965,no,no,40,0,0,0
44398,0,22,2.5,1.7807182,no,yes,120,1,0,0
44400,0,28,2.5,2.0650983,yes,yes,40,0,1,0
44412,0,18,2.5,1.2351917,no,yes,180,0,0,0
44414,0,22,2.5,1.8320867,no,no,120,0,0,1
44794,0,23,3,2.4931734,no,yes,40,1,0,0
44808,0,22,2,2.4890897,no,no,120,1,0,0
45206,0,25,2,1.4830899,no,yes,180,1,0,1
45230,0,22,2,1.601506,no,yes,120,0,0,0
45232,0,18,2,1.467738,no,no,60,0,0,1
45240,0,20,2,1.352266,no,no,40,0,0,0
45270,0,21,2,1.4796121,no,no,20,0,0,0
45730,0,22,1.5,1.7010175,no,no,100,0,0,0
45732,0,21,1.5,1.6412076,no,no,90,1,0,0
45734,0,21,1.5,1.2982326,no,no,90,0,0,0
45746,0,23,1.5,1.7275676,no,no,60,0,0,0
45750,0,22,1.5,1.6346575,no,yes,140,1,1,0
45758,0,20,1.5,1.7030776,no,yes,10,1,0,0
45760,0,22,1.5,1.67313,no,yes,60,1,0,0
45764,0,28,1.5,1.71726,no,yes,60,1,0,0
45772,0,21,1.5,1.648035,no,no,80,0,0,0
45778,0,25,1.5,1.7218449,no,no,120,1,0,0
45780,0,21,1.5,1.6482249,no,yes,30,0,0,0
45784,0,23,1.5,1.6972851,no,yes,70,1,0,1
45786,0,19,1.5,1.4980575,no,no,43,0,0,1
45790,0,20,1.5,1.514765,no,no,25,0,0,1
45834,0,20,1.5,1.3220274,no,no,80,0,0,0
45856,0,22,1.5,1.3680625,no,yes,80,0,0,0
45862,0,18,1.5,1.230625,no,yes,180,1,0,0
46004,0,24,2,2.1138501,no,yes,6,1,0,0
46006,0,25,2,1.86586,no,yes,60,1,1,1
46008,0,22,1.5,1.8390501,no,no,50,1,0,0
46010,0,25,25,1.328755,no,no,30,0,0,1
46016,0,19,1.5,1.4504375,no,yes,30,0,0,0
46018,0,17,1.5,1.20444,no,no,30,0,0,0
46022,0,17,1.5,1.21079,no,no,30,0,0,0
46026,0,19,1.5,1.442155,no,yes,60,0,0,1
46034,0,17,1.5,1.255515,no,yes,50,0,0,0
46036,0,20,1.5,1.3746525,no,yes,30,0,0,0
46044,0,21,1.5,1.6189051,no,no,70,0,0,0
46046,0,22,1.5,1.344785,no,yes,65,1,0,0
46050,0,19,1.5,1.4123526,no,no,30,0,0,0
46058,0,22,1.5,1.401275,no,no,40,0,0,0
46060,0,20,1.5,1.4131875,no,yes,80,0,0,0
46066,0,17,1.5,1.253765,no,yes,50,0,0,0
46070,0,24,1.5,1.3811799,no,yes,150,1,0,1
46074,0,22,1.5,1.3831799,no,yes,60,0,0,0
46476,0,19,1,1.62701,no,yes,90,0,0,1
46478,0,18,1,1.3734667,no,yes,25,0,0,0
46494,0,18,1,1.4149433,no,yes,24,0,0,0
46502,0,19,1,1.3734667,no,yes,40,0,0,0
46510,0,17,1,1.3684666,no,no,60,0,0,0
46536,0,20,1,1.4504499,no,no,36,0,0,0
46538,0,19,1,1.4036967,no,no,40,0,0,0
46540,0,18,1,1.3841,no,no,40,0,0,0
46542,0,18,1,1.375,no,no,30,1,0,0
46546,0,22,1,1.5264367,no,yes,120,0,0,1
46632,0,18,1,1.6285033,no,yes,120,0,0,0
46638,0,27,25,1.62655,yes,no,180,0,1,1
46642,0,21,1,2.0104599,no,no,40,1,0,0
46644,0,23,1.5,2.5977399,no,no,80,0,0,0
46650,0,24,1,2.0237932,no,no,90,1,0,0
47184,0,26,0.5,3.335,no,yes,110,0,0,1
47186,0,19,0.5,1.36,no,no,60,0,0,0
47188,0,17,0.5,1.36,no,no,40,0,0,0
47194,0,17,0.5,1.36,no,yes,40,1,0,0
47198,0,22,0.5,1.5599999,no,no,60,0,0,0
47200,0,21,0.5,1.5525,no,no,30,0,0,0
47216,0,20,0.5,1.5525,no,no,40,0,0,0
47240,0,17,0.5,1.36,no,no,20,1,0,0
47254,0,24,0.5,1.5599999,no,no,20,0,0,1
47268,0,21,0.5,1.603705,no,yes,60,0,0,0
47270,0,19,0.5,1.483705,no,no,120,0,0,0
47272,0,23,0.5,1.989655,no,no,20,1,0,1
47274,0,24,25,1.989655,no,yes,40,1,0,1
47276,0,23,0.5,1.989655,no,yes,40,1,0,0
47278,0,28,0.5,1.645515,no,yes,100,1,0,0
47280,0,19,0.5,1.6173249,no,no,50,1,0,0
47282,0,26,1,2.00103,no,yes,140,1,0,0
47284,0,20,0.5,1.650085,no,yes,120,0,0,0
47286,0,19,0.5,1.530255,no,no,120,0,0,0
47288,0,19,0.5,1.6417199,no,no,110,1,0,0
47294,0,20,0.5,1.485255,no,yes,90,0,0,0
47296,0,20,0.5,1.49172,no,yes,150,0,0,1
47304,0,25,0.5,1.5071551,no,no,40,1,0,0
47310,0,20,0.5,1.45077,no,yes,180,0,0,0
47312,0,22,0.5,1.49422,no,yes,120,0,0,0
47314,0,18,0.5,1.2992251,no,yes,60,0,0,0
47322,0,20,0.5,1.2971851,no,yes,30,0,0,1
47324,0,22,0.5,1.4287051,no,no,140,1,0,1
47328,0,22,0.5,1.3052551,no,yes,30,0,0,0
47330,0,23,0.5,1.485255,no,no,40,0,0,0
47534,0,23,0.5,1.248795,no,yes,180,0,0,0
47552,0,21,0.5,1.238795,no,yes,140,1,0,0
47648,0,20,0.5,1.216895,no,yes,120,1,0,0
47650,0,19,1,1.725,no,yes,60,0,0,0
47652,0,21,1,1.6849999,no,yes,90,0,0,0
48028,0,26,0,1.34034,no,no,40,0,0,1
48032,0,29,0,1.3103399,no,yes,60,0,0,0
48036,0,18,0,1.24137,no,no,170,1,0,0
48040,0,23,0,1.34034,no,yes,90,1,0,1
48042,0,21,0,1.34034,no,yes,90,1,0,1
48046,0,26,0,1.27586,yes,yes,180,0,1,0
48054,0,23,0,1.3103399,no,yes,90,1,0,0
48056,0,21,0,1.34034,no,no,110,1,0,1
48058,0,20,0,1.3103399,no,yes,55,1,0,0
48060,0,22,0,1.3103399,no,no,120,0,0,0
48066,0,22,0,1.34034,no,no,120,0,0,1
48068,0,22,0,1.3103399,no,yes,220,0,0,1
48072,0,21,0,1.3103399,no,yes,180,1,0,1
48074,0,23,0,1.24137,no,no,150,0,0,0
48076,0,19,0,1.3103399,no,no,20,0,0,0
48078,0,23,0,1.34034,no,yes,4,0,0,1
48080,0,22,0,1.24137,no,yes,30,1,0,0
48088,0,20,0,1.3103399,no,yes,120,1,0,1
48094,0,21,0,1.3103399,no,yes,190,1,0,0
48096,0,23,0,1.3103399,no,yes,90,0,0,0
48100,0,21,0,1.3103399,no,yes,90,0,0,0
48120,0,25,0,0.99052,no,yes,60,0,1,0
48122,0,20,0,1.2665501,no,yes,40,0,0,0
48124,0,23,0,1.0505201,no,yes,50,0,0,0
48130,0,21,0,1.19742,no,yes,120,0,0,1
48138,0,26,0,1.12552,no,no,40,1,0,1
48372,0,24,0,0.62068999,no,yes,50,0,0,0
48378,0,18,0,0.62068999,no,yes,160,1,0,0
48382,0,22,0,0.62068999,no,no,80,1,0,0
48386,0,18,0,0.53793001,no,yes,120,1,0,0
