super_opeid,name,type,tier,iclevel,state,parq,share,kq5_cond_parq
4853,"Bradford School of Columbus, OH",Private For-profit,Two-year for-profit,Two-year,OH,1,.2005382,.012662238
4853,"Bradford School of Columbus, OH",Private For-profit,Two-year for-profit,Two-year,OH,2,.24887443,.088582955
4853,"Bradford School of Columbus, OH",Private For-profit,Two-year for-profit,Two-year,OH,3,.28256977,.063292556
4853,"Bradford School of Columbus, OH",Private For-profit,Two-year for-profit,Two-year,OH,4,.21456657,.068087876
4853,"Bradford School of Columbus, OH",Private For-profit,Two-year for-profit,Two-year,OH,5,.05345092,.25961447
9721,"Bradford School of Pittsburgh, PA",Private For-profit,Two-year for-profit,Two-year,PA,1,.11279654,.057264928
9721,"Bradford School of Pittsburgh, PA",Private For-profit,Two-year for-profit,Two-year,PA,2,.20686391,.019795854
9721,"Bradford School of Pittsburgh, PA",Private For-profit,Two-year for-profit,Two-year,PA,3,.20591797,.08963874
9721,"Bradford School of Pittsburgh, PA",Private For-profit,Two-year for-profit,Two-year,PA,4,.32226443,.076251499
9721,"Bradford School of Pittsburgh, PA",Private For-profit,Two-year for-profit,Two-year,PA,5,.15215717,.03131311
1641,Bradley University,Private Non-profit,Selective private,Four-year,IL,1,.029080324,.40253019
1641,Bradley University,Private Non-profit,Selective private,Four-year,IL,2,.0636639,.44694829
1641,Bradley University,Private Non-profit,Selective private,Four-year,IL,3,.13334715,.46431658
1641,Bradley University,Private Non-profit,Selective private,Four-year,IL,4,.25870097,.50109899
1641,Bradley University,Private Non-profit,Selective private,Four-year,IL,5,.51520765,.51960194
2133,Brandeis University,Private Non-profit,Other elite schools (public and private),Four-year,MA,1,.040012892,.50940466
2133,Brandeis University,Private Non-profit,Other elite schools (public and private),Four-year,MA,2,.069371127,.56284112
2133,Brandeis University,Private Non-profit,Other elite schools (public and private),Four-year,MA,3,.11065703,.52175522
2133,Brandeis University,Private Non-profit,Other elite schools (public and private),Four-year,MA,4,.16196483,.55218786
2133,Brandeis University,Private Non-profit,Other elite schools (public and private),Four-year,MA,5,.61799419,.56061167
7287,Brazosport College,Public,Nonselective four-year public,Four-year,TX,1,.13677046,.28556961
7287,Brazosport College,Public,Nonselective four-year public,Four-year,TX,2,.1523385,.26579484
7287,Brazosport College,Public,Nonselective four-year public,Four-year,TX,3,.20497894,.309587
7287,Brazosport College,Public,Nonselective four-year public,Four-year,TX,4,.27825502,.2748082
7287,Brazosport College,Public,Nonselective four-year public,Four-year,TX,5,.22765717,.28190866
1556,Brenau University,Private Non-profit,Selective private,Four-year,GA,1,.067651331,.30907479
1556,Brenau University,Private Non-profit,Selective private,Four-year,GA,2,.13918421,.1308953
1556,Brenau University,Private Non-profit,Selective private,Four-year,GA,3,.16989876,.13918509
1556,Brenau University,Private Non-profit,Selective private,Four-year,GA,4,.27214119,.20068228
1556,Brenau University,Private Non-profit,Selective private,Four-year,GA,5,.3511245,.16475548
2912,Brevard College,Private Non-profit,Nonselective four-year private not-for-profit,Four-year,NC,1,.07730525,.08412838
2912,Brevard College,Private Non-profit,Nonselective four-year private not-for-profit,Four-year,NC,2,.10750085,.14516459
2912,Brevard College,Private Non-profit,Nonselective four-year private not-for-profit,Four-year,NC,3,.17759588,.17292914
2912,Brevard College,Private Non-profit,Nonselective four-year private not-for-profit,Four-year,NC,4,.23993695,.19512568
2912,Brevard College,Private Non-profit,Nonselective four-year private not-for-profit,Four-year,NC,5,.397661,.14465049
1557,Brewton Parker College,Private Non-profit,Selective private,Four-year,GA,1,.11572461,.069101878
1557,Brewton Parker College,Private Non-profit,Selective private,Four-year,GA,2,.21090163,.18707073
1557,Brewton Parker College,Private Non-profit,Selective private,Four-year,GA,3,.27718282,.084849447
1557,Brewton Parker College,Private Non-profit,Selective private,Four-year,GA,4,.24043988,.15281263
1557,Brewton Parker College,Private Non-profit,Selective private,Four-year,GA,5,.15575108,.24040078
1846,Briar Cliff University,Private Non-profit,Selective private,Four-year,IA,1,.094580285,.10418881
1846,Briar Cliff University,Private Non-profit,Selective private,Four-year,IA,2,.15001136,.17161354
1846,Briar Cliff University,Private Non-profit,Selective private,Four-year,IA,3,.23091045,.20625722
1846,Briar Cliff University,Private Non-profit,Selective private,Four-year,IA,4,.31287369,.29380962
1846,Briar Cliff University,Private Non-profit,Selective private,Four-year,IA,5,.21162431,.32031816
20757,Briarcliffe College,Private For-profit,Four-year for-profit,Four-year,NY,1,.15408872,.19080919
20757,Briarcliffe College,Private For-profit,Four-year for-profit,Four-year,NY,2,.19347343,.16275765
20757,Briarcliffe College,Private For-profit,Four-year for-profit,Four-year,NY,3,.20718318,.26630834
20757,Briarcliffe College,Private For-profit,Four-year for-profit,Four-year,NY,4,.20928901,.25764915
20757,Briarcliffe College,Private For-profit,Four-year for-profit,Four-year,NY,5,.23596579,.32133064
21154,Bridgerland Applied Technology College,Public,Two-year (public and private not-for-profit),Two-year,UT,1,.11838694,.06582132
21154,Bridgerland Applied Technology College,Public,Two-year (public and private not-for-profit),Two-year,UT,2,.15528964,.12513006
21154,Bridgerland Applied Technology College,Public,Two-year (public and private not-for-profit),Two-year,UT,3,.22753063,.10239928
21154,Bridgerland Applied Technology College,Public,Two-year (public and private not-for-profit),Two-year,UT,4,.33960021,.26110449
21154,Bridgerland Applied Technology College,Public,Two-year (public and private not-for-profit),Two-year,UT,5,.15919253,.17795968
3704,Bridgewater College,Private Non-profit,Selective private,Four-year,VA,1,.059629936,.16413924
3704,Bridgewater College,Private Non-profit,Selective private,Four-year,VA,2,.11056304,.23250021
3704,Bridgewater College,Private Non-profit,Selective private,Four-year,VA,3,.18950529,.2939727
3704,Bridgewater College,Private Non-profit,Selective private,Four-year,VA,4,.3201901,.27955744
3704,Bridgewater College,Private Non-profit,Selective private,Four-year,VA,5,.32011157,.3863169
2183,Bridgewater State University,Public,Selective public,Four-year,MA,1,.047576465,.27766919
2183,Bridgewater State University,Public,Selective public,Four-year,MA,2,.097836517,.30028179
2183,Bridgewater State University,Public,Selective public,Four-year,MA,3,.18089011,.3109237
2183,Bridgewater State University,Public,Selective public,Four-year,MA,4,.31913334,.34712878
2183,Bridgewater State University,Public,Selective public,Four-year,MA,5,.35456359,.39406514
3670,Brigham Young University,Private Non-profit,Selective private,Four-year,UT,1,.022001563,.29567873
3670,Brigham Young University,Private Non-profit,Selective private,Four-year,UT,2,.051299132,.29103073
3670,Brigham Young University,Private Non-profit,Selective private,Four-year,UT,3,.12214875,.29628631
3670,Brigham Young University,Private Non-profit,Selective private,Four-year,UT,4,.24779634,.3496837
3670,Brigham Young University,Private Non-profit,Selective private,Four-year,UT,5,.55675429,.37245321
1606,Brigham Young University - Hawaii,Private Non-profit,Selective private,Four-year,HI,1,.051140193,.24442205
1606,Brigham Young University - Hawaii,Private Non-profit,Selective private,Four-year,HI,2,.06659691,.16500019
1606,Brigham Young University - Hawaii,Private Non-profit,Selective private,Four-year,HI,3,.17769057,.19271256
1606,Brigham Young University - Hawaii,Private Non-profit,Selective private,Four-year,HI,4,.33683997,.1983898
1606,Brigham Young University - Hawaii,Private Non-profit,Selective private,Four-year,HI,5,.36773229,.25718772
1625,Brigham Young University-Idaho,Private Non-profit,Nonselective four-year private not-for-profit,Four-year,ID,1,.041382078,.18205637
1625,Brigham Young University-Idaho,Private Non-profit,Nonselective four-year private not-for-profit,Four-year,ID,2,.092546269,.1881382
1625,Brigham Young University-Idaho,Private Non-profit,Nonselective four-year private not-for-profit,Four-year,ID,3,.19896984,.23864752
1625,Brigham Young University-Idaho,Private Non-profit,Nonselective four-year private not-for-profit,Four-year,ID,4,.31195301,.25396696
1625,Brigham Young University-Idaho,Private Non-profit,Nonselective four-year private not-for-profit,Four-year,ID,5,.35514864,.27910838
2176,Bristol Community College,Public,Two-year (public and private not-for-profit),Two-year,MA,1,.1180862,.15147556
2176,Bristol Community College,Public,Two-year (public and private not-for-profit),Two-year,MA,2,.16992736,.13693707
2176,Bristol Community College,Public,Two-year (public and private not-for-profit),Two-year,MA,3,.25691438,.15761366
2176,Bristol Community College,Public,Two-year (public and private not-for-profit),Two-year,MA,4,.29861557,.21385224
2176,Bristol Community College,Public,Two-year (public and private not-for-profit),Two-year,MA,5,.15645647,.22090679
8404,Brookdale Community College,Public,Two-year (public and private not-for-profit),Two-year,NJ,1,.086514518,.16719204
8404,Brookdale Community College,Public,Two-year (public and private not-for-profit),Two-year,NJ,2,.12054713,.20176519
8404,Brookdale Community College,Public,Two-year (public and private not-for-profit),Two-year,NJ,3,.16696948,.2384166
8404,Brookdale Community College,Public,Two-year (public and private not-for-profit),Two-year,NJ,4,.2482968,.2603001
8404,Brookdale Community College,Public,Two-year (public and private not-for-profit),Two-year,NJ,5,.37767187,.29280633
22188,Brookline College,Private For-profit,Four-year for-profit,Four-year,AZ,1,.36924669,.037832219
22188,Brookline College,Private For-profit,Four-year for-profit,Four-year,AZ,2,.31703559,.016598227
22188,Brookline College,Private For-profit,Four-year for-profit,Four-year,AZ,3,.1850089,.064117849
22188,Brookline College,Private For-profit,Four-year for-profit,Four-year,AZ,4,.095973067,.070686661
22188,Brookline College,Private For-profit,Four-year for-profit,Four-year,AZ,5,.032735743,.2404208
1123,Brooks Institute,Private For-profit,Four-year for-profit,Four-year,CA,1,.06575641,.15989481
1123,Brooks Institute,Private For-profit,Four-year for-profit,Four-year,CA,2,.12351529,.15219428
1123,Brooks Institute,Private For-profit,Four-year for-profit,Four-year,CA,3,.19318748,.18896441
1123,Brooks Institute,Private For-profit,Four-year for-profit,Four-year,CA,4,.18805373,.19437167
1123,Brooks Institute,Private For-profit,Four-year for-profit,Four-year,CA,5,.42948711,.24902184
2862,Broome Community College,Public,Two-year (public and private not-for-profit),Two-year,NY,1,.12483184,.091802225
2862,Broome Community College,Public,Two-year (public and private not-for-profit),Two-year,NY,2,.1931456,.12723793
2862,Broome Community College,Public,Two-year (public and private not-for-profit),Two-year,NY,3,.25658801,.15442121
2862,Broome Community College,Public,Two-year (public and private not-for-profit),Two-year,NY,4,.2532838,.16008298
2862,Broome Community College,Public,Two-year (public and private not-for-profit),Two-year,NY,5,.17215082,.21296272
1500,Broward College,Public,Nonselective four-year public,Four-year,FL,1,.19551703,.14160496
1500,Broward College,Public,Nonselective four-year public,Four-year,FL,2,.22973713,.1458901
1500,Broward College,Public,Nonselective four-year public,Four-year,FL,3,.20392686,.18347259
1500,Broward College,Public,Nonselective four-year public,Four-year,FL,4,.18635547,.18402147
1500,Broward College,Public,Nonselective four-year public,Four-year,FL,5,.18446353,.21600454
7351,Brown College,Private For-profit,Four-year for-profit,Four-year,MN,1,.11487776,.11870188
7351,Brown College,Private For-profit,Four-year for-profit,Four-year,MN,2,.17341658,.12552784
7351,Brown College,Private For-profit,Four-year for-profit,Four-year,MN,3,.24672174,.15022719
7351,Brown College,Private For-profit,Four-year for-profit,Four-year,MN,4,.26495984,.17479642
7351,Brown College,Private For-profit,Four-year for-profit,Four-year,MN,5,.20002413,.21417281
3401,Brown University,Private Non-profit,Ivy Plus,Four-year,RI,1,.029180808,.53072047
3401,Brown University,Private Non-profit,Ivy Plus,Four-year,RI,2,.042766131,.54985213
3401,Brown University,Private Non-profit,Ivy Plus,Four-year,RI,3,.070927814,.54517722
3401,Brown University,Private Non-profit,Ivy Plus,Four-year,RI,4,.12094032,.59971189
3401,Brown University,Private Non-profit,Ivy Plus,Four-year,RI,5,.73618495,.59648615
21707,Brunswick Community College,Public,Two-year (public and private not-for-profit),Two-year,NC,1,.24832292,.042237185
21707,Brunswick Community College,Public,Two-year (public and private not-for-profit),Two-year,NC,2,.22842675,.033172525
21707,Brunswick Community College,Public,Two-year (public and private not-for-profit),Two-year,NC,3,.24992278,.065690666
21707,Brunswick Community College,Public,Two-year (public and private not-for-profit),Two-year,NC,4,.17293036,.10482544
21707,Brunswick Community College,Public,Two-year (public and private not-for-profit),Two-year,NC,5,.10039714,.092151843
3536,Bryan College,Private Non-profit,Selective private,Four-year,TN,1,.06427718,.073148608
3536,Bryan College,Private Non-profit,Selective private,Four-year,TN,2,.1352938,.15832096
3536,Bryan College,Private Non-profit,Selective private,Four-year,TN,3,.25726214,.19258071
3536,Bryan College,Private Non-profit,Selective private,Four-year,TN,4,.25584352,.1969693
3536,Bryan College,Private Non-profit,Selective private,Four-year,TN,5,.28732345,.16151853
3402,Bryant University,Private Non-profit,Selective private,Four-year,RI,1,.029851424,.53712642
3402,Bryant University,Private Non-profit,Selective private,Four-year,RI,2,.064203233,.51789951
3402,Bryant University,Private Non-profit,Selective private,Four-year,RI,3,.13427809,.66070616
3402,Bryant University,Private Non-profit,Selective private,Four-year,RI,4,.22925709,.66819388
3402,Bryant University,Private Non-profit,Selective private,Four-year,RI,5,.54241019,.72915006
3237,Bryn Mawr College,Private Non-profit,Other elite schools (public and private),Four-year,PA,1,.051568918,.35416266
3237,Bryn Mawr College,Private Non-profit,Other elite schools (public and private),Four-year,PA,2,.088967226,.27142927
3237,Bryn Mawr College,Private Non-profit,Other elite schools (public and private),Four-year,PA,3,.12213887,.4172444
3237,Bryn Mawr College,Private Non-profit,Other elite schools (public and private),Four-year,PA,4,.17481363,.46332324
3237,Bryn Mawr College,Private Non-profit,Other elite schools (public and private),Four-year,PA,5,.56251127,.38663819
3238,Bucknell University,Private Non-profit,Other elite schools (public and private),Four-year,PA,1,.026475985,.551498
3238,Bucknell University,Private Non-profit,Other elite schools (public and private),Four-year,PA,2,.057272293,.54142922
3238,Bucknell University,Private Non-profit,Other elite schools (public and private),Four-year,PA,3,.10861945,.56613714
3238,Bucknell University,Private Non-profit,Other elite schools (public and private),Four-year,PA,4,.1671465,.58248949
3238,Bucknell University,Private Non-profit,Other elite schools (public and private),Four-year,PA,5,.64048576,.6726352
3239,Bucks County Community College,Public,Two-year (public and private not-for-profit),Two-year,PA,1,.065730006,.18494272
3239,Bucks County Community College,Public,Two-year (public and private not-for-profit),Two-year,PA,2,.11953618,.18457715
3239,Bucks County Community College,Public,Two-year (public and private not-for-profit),Two-year,PA,3,.20696148,.21155819
3239,Bucks County Community College,Public,Two-year (public and private not-for-profit),Two-year,PA,4,.29752886,.22275886
3239,Bucks County Community College,Public,Two-year (public and private not-for-profit),Two-year,PA,5,.3102434,.25143015
1847,Buena Vista University,Private Non-profit,Selective private,Four-year,IA,1,.058302686,.28200078
1847,Buena Vista University,Private Non-profit,Selective private,Four-year,IA,2,.18671241,.25538045
1847,Buena Vista University,Private Non-profit,Selective private,Four-year,IA,3,.29473469,.31662157
1847,Buena Vista University,Private Non-profit,Selective private,Four-year,IA,4,.29223457,.36281893
1847,Buena Vista University,Private Non-profit,Selective private,Four-year,IA,5,.16801567,.38300863
11210,Bunker Hill Community College,Public,Two-year (public and private not-for-profit),Two-year,MA,1,.19770063,.10817116
11210,Bunker Hill Community College,Public,Two-year (public and private not-for-profit),Two-year,MA,2,.27077413,.14957939
11210,Bunker Hill Community College,Public,Two-year (public and private not-for-profit),Two-year,MA,3,.21679874,.15145762
11210,Bunker Hill Community College,Public,Two-year (public and private not-for-profit),Two-year,MA,4,.19054422,.23688318
11210,Bunker Hill Community College,Public,Two-year (public and private not-for-profit),Two-year,MA,5,.12418228,.26990172
7730,Burlington County College - Pemberton Campus,Public,Two-year (public and private not-for-profit),Two-year,NJ,1,.078882173,.20560367
7730,Burlington County College - Pemberton Campus,Public,Two-year (public and private not-for-profit),Two-year,NJ,2,.14797412,.19163722
7730,Burlington County College - Pemberton Campus,Public,Two-year (public and private not-for-profit),Two-year,NJ,3,.19490939,.19529426
7730,Burlington County College - Pemberton Campus,Public,Two-year (public and private not-for-profit),Two-year,NJ,4,.29541731,.23230992
7730,Burlington County College - Pemberton Campus,Public,Two-year (public and private not-for-profit),Two-year,NJ,5,.28281689,.24894249
3240,"Butler County Community College of Butler, PA",Public,Two-year (public and private not-for-profit),Two-year,PA,1,.12039075,.074870363
3240,"Butler County Community College of Butler, PA",Public,Two-year (public and private not-for-profit),Two-year,PA,2,.15562718,.14517869
3240,"Butler County Community College of Butler, PA",Public,Two-year (public and private not-for-profit),Two-year,PA,3,.29879287,.14980024
3240,"Butler County Community College of Butler, PA",Public,Two-year (public and private not-for-profit),Two-year,PA,4,.2938391,.1794073
3240,"Butler County Community College of Butler, PA",Public,Two-year (public and private not-for-profit),Two-year,PA,5,.13135009,.22221847
1906,"Butler County Community College of El Dorado, KS",Public,Two-year (public and private not-for-profit),Two-year,KS,1,.10150753,.084116295
1906,"Butler County Community College of El Dorado, KS",Public,Two-year (public and private not-for-profit),Two-year,KS,2,.15114155,.12355823
1906,"Butler County Community College of El Dorado, KS",Public,Two-year (public and private not-for-profit),Two-year,KS,3,.23051855,.1303757
1906,"Butler County Community College of El Dorado, KS",Public,Two-year (public and private not-for-profit),Two-year,KS,4,.32282242,.16118394
1906,"Butler County Community College of El Dorado, KS",Public,Two-year (public and private not-for-profit),Two-year,KS,5,.1940099,.20225158
1788,Butler University,Private Non-profit,Selective private,Four-year,IN,1,.021009654,.47678167
1788,Butler University,Private Non-profit,Selective private,Four-year,IN,2,.055650353,.42709893
1788,Butler University,Private Non-profit,Selective private,Four-year,IN,3,.12210855,.49890152
1788,Butler University,Private Non-profit,Selective private,Four-year,IN,4,.24108993,.47695345
1788,Butler University,Private Non-profit,Selective private,Four-year,IN,5,.5601415,.51714826
8073,Butte College,Public,Two-year (public and private not-for-profit),Two-year,CA,1,.16059485,.12189633
8073,Butte College,Public,Two-year (public and private not-for-profit),Two-year,CA,2,.191634,.15498325
8073,Butte College,Public,Two-year (public and private not-for-profit),Two-year,CA,3,.2192651,.18804289
8073,Butte College,Public,Two-year (public and private not-for-profit),Two-year,CA,4,.23241371,.22488984
8073,Butte College,Public,Two-year (public and private not-for-profit),Two-year,CA,5,.19609243,.28999278
7273,CUNY Bernard M. Baruch College,Public,Selective public,Four-year,NY,1,.27632242,.46824235
7273,CUNY Bernard M. Baruch College,Public,Selective public,Four-year,NY,2,.24708676,.5193553
7273,CUNY Bernard M. Baruch College,Public,Selective public,Four-year,NY,3,.18114506,.504879
7273,CUNY Bernard M. Baruch College,Public,Selective public,Four-year,NY,4,.15844415,.55963796
7273,CUNY Bernard M. Baruch College,Public,Selective public,Four-year,NY,5,.13700163,.61249322
2691,CUNY Borough Of Manhattan Community College,Public,Two-year (public and private not-for-profit),Two-year,NY,1,.35075352,.17514886
2691,CUNY Borough Of Manhattan Community College,Public,Two-year (public and private not-for-profit),Two-year,NY,2,.30528826,.19881311
2691,CUNY Borough Of Manhattan Community College,Public,Two-year (public and private not-for-profit),Two-year,NY,3,.19741878,.22014432
2691,CUNY Borough Of Manhattan Community College,Public,Two-year (public and private not-for-profit),Two-year,NY,4,.088356949,.19840708
2691,CUNY Borough Of Manhattan Community College,Public,Two-year (public and private not-for-profit),Two-year,NY,5,.058182538,.2349536
2692,CUNY Bronx Community College,Public,Two-year (public and private not-for-profit),Two-year,NY,1,.40972704,.14355651
2692,CUNY Bronx Community College,Public,Two-year (public and private not-for-profit),Two-year,NY,2,.29984668,.14282835
2692,CUNY Bronx Community College,Public,Two-year (public and private not-for-profit),Two-year,NY,3,.17144136,.14915349
2692,CUNY Bronx Community College,Public,Two-year (public and private not-for-profit),Two-year,NY,4,.086420804,.16764426
2692,CUNY Bronx Community College,Public,Two-year (public and private not-for-profit),Two-year,NY,5,.032563992,.11427459
2687,CUNY Brooklyn College,Public,Selective public,Four-year,NY,1,.23247004,.34696299
2687,CUNY Brooklyn College,Public,Selective public,Four-year,NY,2,.22285134,.35195526
2687,CUNY Brooklyn College,Public,Selective public,Four-year,NY,3,.17759398,.37398863
2687,CUNY Brooklyn College,Public,Selective public,Four-year,NY,4,.16867423,.4384211
2687,CUNY Brooklyn College,Public,Selective public,Four-year,NY,5,.19841042,.48847502
2689,CUNY Hunter College,Public,Selective public,Four-year,NY,1,.21163614,.35636646
2689,CUNY Hunter College,Public,Selective public,Four-year,NY,2,.24947171,.36166161
2689,CUNY Hunter College,Public,Selective public,Four-year,NY,3,.20037729,.38411543
2689,CUNY Hunter College,Public,Selective public,Four-year,NY,4,.16305597,.37102547
2689,CUNY Hunter College,Public,Selective public,Four-year,NY,5,.17545889,.37281838
2693,CUNY John Jay College Of Criminal Justice,Public,Selective public,Four-year,NY,1,.27158952,.35684139
2693,CUNY John Jay College Of Criminal Justice,Public,Selective public,Four-year,NY,2,.27249771,.31879619
2693,CUNY John Jay College Of Criminal Justice,Public,Selective public,Four-year,NY,3,.19947815,.39410001
2693,CUNY John Jay College Of Criminal Justice,Public,Selective public,Four-year,NY,4,.14038803,.41116571
2693,CUNY John Jay College Of Criminal Justice,Public,Selective public,Four-year,NY,5,.1160467,.5034433
10051,CUNY Laguardia Community College,Public,Two-year (public and private not-for-profit),Two-year,NY,1,.36779636,.1646369
10051,CUNY Laguardia Community College,Public,Two-year (public and private not-for-profit),Two-year,NY,2,.29095787,.18968065
10051,CUNY Laguardia Community College,Public,Two-year (public and private not-for-profit),Two-year,NY,3,.19897839,.1981643
10051,CUNY Laguardia Community College,Public,Two-year (public and private not-for-profit),Two-year,NY,4,.10014469,.21003744
10051,CUNY Laguardia Community College,Public,Two-year (public and private not-for-profit),Two-year,NY,5,.042122658,.17751154
7022,CUNY Lehman College,Public,Selective public,Four-year,NY,1,.36707491,.27882966
7022,CUNY Lehman College,Public,Selective public,Four-year,NY,2,.27843255,.28884086
7022,CUNY Lehman College,Public,Selective public,Four-year,NY,3,.18080103,.34204176
7022,CUNY Lehman College,Public,Selective public,Four-year,NY,4,.10446914,.28416798
7022,CUNY Lehman College,Public,Selective public,Four-year,NY,5,.069222383,.30798692
10097,CUNY Medgar Evers College,Public,Selective public,Four-year,NY,1,.30484688,.1655872
10097,CUNY Medgar Evers College,Public,Selective public,Four-year,NY,2,.35112643,.17258817
10097,CUNY Medgar Evers College,Public,Selective public,Four-year,NY,3,.1971558,.1685183
10097,CUNY Medgar Evers College,Public,Selective public,Four-year,NY,4,.10433246,.19219843
10097,CUNY Medgar Evers College,Public,Selective public,Four-year,NY,5,.042538427,.20995
2690,CUNY Queens College,Public,Selective public,Four-year,NY,1,.20142742,.35438401
2690,CUNY Queens College,Public,Selective public,Four-year,NY,2,.19686171,.40994349
2690,CUNY Queens College,Public,Selective public,Four-year,NY,3,.15385202,.41839728
2690,CUNY Queens College,Public,Selective public,Four-year,NY,4,.19396383,.43986118
2690,CUNY Queens College,Public,Selective public,Four-year,NY,5,.25389493,.4890005
4759,CUNY York College,Public,Selective public,Four-year,NY,1,.30660444,.22242035
4759,CUNY York College,Public,Selective public,Four-year,NY,2,.31305575,.20480856
4759,CUNY York College,Public,Selective public,Four-year,NY,3,.21146952,.24367869
4759,CUNY York College,Public,Selective public,Four-year,NY,4,.10849758,.21818842
4759,CUNY York College,Public,Selective public,Four-year,NY,5,.0603728,.32282606
8611,"CUNY, Hostos Community College",Public,Two-year (public and private not-for-profit),Two-year,NY,1,.45826006,.14185499
8611,"CUNY, Hostos Community College",Public,Two-year (public and private not-for-profit),Two-year,NY,2,.30691656,.16607462
8611,"CUNY, Hostos Community College",Public,Two-year (public and private not-for-profit),Two-year,NY,3,.15065864,.14280336
8611,"CUNY, Hostos Community College",Public,Two-year (public and private not-for-profit),Two-year,NY,4,.065011472,.21976136
8611,"CUNY, Hostos Community College",Public,Two-year (public and private not-for-profit),Two-year,NY,5,.019153386,0
1124,Cabrillo College,Public,Two-year (public and private not-for-profit),Two-year,CA,1,.14195026,.12321246
1124,Cabrillo College,Public,Two-year (public and private not-for-profit),Two-year,CA,2,.18660159,.16841772
1124,Cabrillo College,Public,Two-year (public and private not-for-profit),Two-year,CA,3,.19420433,.18334509
1124,Cabrillo College,Public,Two-year (public and private not-for-profit),Two-year,CA,4,.20257413,.22641471
1124,Cabrillo College,Public,Two-year (public and private not-for-profit),Two-year,CA,5,.27466977,.24143304
3241,Cabrini College,Private Non-profit,Selective private,Four-year,PA,1,.055950224,.2399911
3241,Cabrini College,Private Non-profit,Selective private,Four-year,PA,2,.096501969,.29305869
3241,Cabrini College,Private Non-profit,Selective private,Four-year,PA,3,.17948073,.38622192
3241,Cabrini College,Private Non-profit,Selective private,Four-year,PA,4,.24927711,.43456861
3241,Cabrini College,Private Non-profit,Selective private,Four-year,PA,5,.41879007,.37154385
3351,Cairn University,Private Non-profit,Selective private,Four-year,PA,1,.069714844,.10098865
3351,Cairn University,Private Non-profit,Selective private,Four-year,PA,2,.14549102,.14623587
3351,Cairn University,Private Non-profit,Selective private,Four-year,PA,3,.23258588,.15271686
3351,Cairn University,Private Non-profit,Selective private,Four-year,PA,4,.30953327,.14347866
3351,Cairn University,Private Non-profit,Selective private,Four-year,PA,5,.24267513,.19013862
2598,Caldwell College,Private Non-profit,Selective private,Four-year,NJ,1,.071806014,.34991133
2598,Caldwell College,Private Non-profit,Selective private,Four-year,NJ,2,.15266198,.39204347
2598,Caldwell College,Private Non-profit,Selective private,Four-year,NJ,3,.19942565,.35131827
2598,Caldwell College,Private Non-profit,Selective private,Four-year,NJ,4,.25528637,.33402416
2598,Caldwell College,Private Non-profit,Selective private,Four-year,NJ,5,.32082,.3447434
4835,Caldwell Community College & Technical Institute,Public,Two-year (public and private not-for-profit),Two-year,NC,1,.1348293,.067721754
4835,Caldwell Community College & Technical Institute,Public,Two-year (public and private not-for-profit),Two-year,NC,2,.22419637,.073982202
4835,Caldwell Community College & Technical Institute,Public,Two-year (public and private not-for-profit),Two-year,NC,3,.24882819,.10102654
4835,Caldwell Community College & Technical Institute,Public,Two-year (public and private not-for-profit),Two-year,NC,4,.23080027,.11119179
4835,Caldwell Community College & Technical Institute,Public,Two-year (public and private not-for-profit),Two-year,NC,5,.16134588,.13706782
1013,Calhoun Community College,Public,Two-year (public and private not-for-profit),Two-year,AL,1,.12812673,.11319712
1013,Calhoun Community College,Public,Two-year (public and private not-for-profit),Two-year,AL,2,.16891205,.10877942
1013,Calhoun Community College,Public,Two-year (public and private not-for-profit),Two-year,AL,3,.21089435,.13403392
1013,Calhoun Community College,Public,Two-year (public and private not-for-profit),Two-year,AL,4,.2755135,.16386938
1013,Calhoun Community College,Public,Two-year (public and private not-for-profit),Two-year,AL,5,.21655345,.17978798
1125,California Baptist University,Private Non-profit,Selective private,Four-year,CA,1,.076455861,.30910993
1125,California Baptist University,Private Non-profit,Selective private,Four-year,CA,2,.11190012,.22650941
1125,California Baptist University,Private Non-profit,Selective private,Four-year,CA,3,.22609356,.29023385
1125,California Baptist University,Private Non-profit,Selective private,Four-year,CA,4,.31907257,.31697795
1125,California Baptist University,Private Non-profit,Selective private,Four-year,CA,5,.26647782,.28413489
1127,California College Of The Arts,Private Non-profit,Nonselective four-year private not-for-profit,Four-year,CA,1,.077750891,.11008562
1127,California College Of The Arts,Private Non-profit,Nonselective four-year private not-for-profit,Four-year,CA,2,.11223492,.33099809
1127,California College Of The Arts,Private Non-profit,Nonselective four-year private not-for-profit,Four-year,CA,3,.19071911,.21798535
1127,California College Of The Arts,Private Non-profit,Nonselective four-year private not-for-profit,Four-year,CA,4,.209786,.25922301
1127,California College Of The Arts,Private Non-profit,Nonselective four-year private not-for-profit,Four-year,CA,5,.40950912,.23119141
22202,California Culinary Academy,Private For-profit,Two-year for-profit,Two-year,CA,1,.12081306,.13457558
22202,California Culinary Academy,Private For-profit,Two-year for-profit,Two-year,CA,2,.1641795,.11206868
22202,California Culinary Academy,Private For-profit,Two-year for-profit,Two-year,CA,3,.19600943,.17548409
22202,California Culinary Academy,Private For-profit,Two-year for-profit,Two-year,CA,4,.23274744,.17671861
22202,California Culinary Academy,Private For-profit,Two-year for-profit,Two-year,CA,5,.28625065,.23554479
1131,California Institute Of Technology,Private Non-profit,Other elite schools (public and private),Four-year,CA,1,.048102688,.66062188
