super_opeid,name,type,tier,iclevel,state,parq,share,kq5_cond_parq
31155,Adventist University Of Health Sciences,Private Non-profit,Nonselective four-year private not-for-profit,Four-year,FL,5,.15748784,.43868551
1542,Agnes Scott College,Private Non-profit,Highly selective private,Four-year,GA,1,.072003044,.20477132
1542,Agnes Scott College,Private Non-profit,Highly selective private,Four-year,GA,2,.12996751,.23168989
1542,Agnes Scott College,Private Non-profit,Highly selective private,Four-year,GA,3,.15526837,.16329277
1542,Agnes Scott College,Private Non-profit,Highly selective private,Four-year,GA,4,.226091,.33343729
1542,Agnes Scott College,Private Non-profit,Highly selective private,Four-year,GA,5,.41667008,.33242187
10056,Aiken Technical College,Public,Two-year (public and private not-for-profit),Two-year,SC,1,.20115341,.08503487
10056,Aiken Technical College,Public,Two-year (public and private not-for-profit),Two-year,SC,2,.19178109,.1209877
10056,Aiken Technical College,Public,Two-year (public and private not-for-profit),Two-year,SC,3,.18350492,.11072987
10056,Aiken Technical College,Public,Two-year (public and private not-for-profit),Two-year,SC,4,.26164183,.14271766
10056,Aiken Technical College,Public,Two-year (public and private not-for-profit),Two-year,SC,5,.16191886,.18232098
1002,Alabama Agricultural & Mechanical University,Public,Selective public,Four-year,AL,1,.24356118,.17323409
1002,Alabama Agricultural & Mechanical University,Public,Selective public,Four-year,AL,2,.26432449,.18094863
1002,Alabama Agricultural & Mechanical University,Public,Selective public,Four-year,AL,3,.19608772,.21410379
1002,Alabama Agricultural & Mechanical University,Public,Selective public,Four-year,AL,4,.17628771,.22407177
1002,Alabama Agricultural & Mechanical University,Public,Selective public,Four-year,AL,5,.11973897,.29100159
1034,Alabama Southern Community College,Public,Two-year (public and private not-for-profit),Two-year,AL,1,.29389939,.10472322
1034,Alabama Southern Community College,Public,Two-year (public and private not-for-profit),Two-year,AL,2,.22918545,.091329657
1034,Alabama Southern Community College,Public,Two-year (public and private not-for-profit),Two-year,AL,3,.16352981,.15914398
1034,Alabama Southern Community College,Public,Two-year (public and private not-for-profit),Two-year,AL,4,.21245942,.22743297
1034,Alabama Southern Community College,Public,Two-year (public and private not-for-profit),Two-year,AL,5,.1009258,.26241422
5463,Alamance Community College,Public,Two-year (public and private not-for-profit),Two-year,NC,1,.13409744,.033365201
5463,Alamance Community College,Public,Two-year (public and private not-for-profit),Two-year,NC,2,.21639305,.057951104
5463,Alamance Community College,Public,Two-year (public and private not-for-profit),Two-year,NC,3,.24086517,.086664833
5463,Alamance Community College,Public,Two-year (public and private not-for-profit),Two-year,NC,4,.25753823,.12039057
5463,Alamance Community College,Public,Two-year (public and private not-for-profit),Two-year,NC,5,.15110618,.10268356
37,Alamo Community College District,Public,Two-year (public and private not-for-profit),Two-year,TX,1,.21751642,.11221429
37,Alamo Community College District,Public,Two-year (public and private not-for-profit),Two-year,TX,2,.24149129,.13017568
37,Alamo Community College District,Public,Two-year (public and private not-for-profit),Two-year,TX,3,.21906626,.16276176
37,Alamo Community College District,Public,Two-year (public and private not-for-profit),Two-year,TX,4,.19534898,.19790967
37,Alamo Community College District,Public,Two-year (public and private not-for-profit),Two-year,TX,5,.12657699,.21677163
2885,Albany College Of Pharmacy And Health Sciences,Private Non-profit,Nonselective four-year private not-for-profit,Four-year,NY,1,.039403558,.85208887
2885,Albany College Of Pharmacy And Health Sciences,Private Non-profit,Nonselective four-year private not-for-profit,Four-year,NY,2,.10187934,.7817995
2885,Albany College Of Pharmacy And Health Sciences,Private Non-profit,Nonselective four-year private not-for-profit,Four-year,NY,3,.18648764,.76731628
2885,Albany College Of Pharmacy And Health Sciences,Private Non-profit,Nonselective four-year private not-for-profit,Four-year,NY,4,.27667844,.76417297
2885,Albany College Of Pharmacy And Health Sciences,Private Non-profit,Nonselective four-year private not-for-profit,Four-year,NY,5,.39555106,.78476369
1544,Albany State University,Public,Selective public,Four-year,GA,1,.2330108,.11070278
1544,Albany State University,Public,Selective public,Four-year,GA,2,.28163674,.15359226
1544,Albany State University,Public,Selective public,Four-year,GA,3,.21580002,.15707694
1544,Albany State University,Public,Selective public,Four-year,GA,4,.1759358,.15483226
1544,Albany State University,Public,Selective public,Four-year,GA,5,.093616597,.14823236
5601,Albany Technical College,Public,Two-year (public and private not-for-profit),Two-year,GA,1,.44530651,.032280397
5601,Albany Technical College,Public,Two-year (public and private not-for-profit),Two-year,GA,2,.28822574,.035961285
5601,Albany Technical College,Public,Two-year (public and private not-for-profit),Two-year,GA,3,.13613243,.098844647
5601,Albany Technical College,Public,Two-year (public and private not-for-profit),Two-year,GA,4,.091694914,.055140611
5601,Albany Technical College,Public,Two-year (public and private not-for-profit),Two-year,GA,5,.03864035,.072851576
1374,Albertus Magnus College,Private Non-profit,Selective private,Four-year,CT,1,.12973523,.42551869
1374,Albertus Magnus College,Private Non-profit,Selective private,Four-year,CT,2,.16373675,.19860429
1374,Albertus Magnus College,Private Non-profit,Selective private,Four-year,CT,3,.24205586,.24072568
1374,Albertus Magnus College,Private Non-profit,Selective private,Four-year,CT,4,.23975486,.29683465
1374,Albertus Magnus College,Private Non-profit,Selective private,Four-year,CT,5,.22471726,.41942024
2235,Albion College,Private Non-profit,Selective private,Four-year,MI,1,.022652306,.30077225
2235,Albion College,Private Non-profit,Selective private,Four-year,MI,2,.069142476,.3299357
2235,Albion College,Private Non-profit,Selective private,Four-year,MI,3,.13488385,.36486614
2235,Albion College,Private Non-profit,Selective private,Four-year,MI,4,.23832628,.32460377
2235,Albion College,Private Non-profit,Selective private,Four-year,MI,5,.53499514,.43493444
3229,Albright College,Private Non-profit,Selective private,Four-year,PA,1,.051434021,.26647335
3229,Albright College,Private Non-profit,Selective private,Four-year,PA,2,.1267895,.31053242
3229,Albright College,Private Non-profit,Selective private,Four-year,PA,3,.2036522,.30382571
3229,Albright College,Private Non-profit,Selective private,Four-year,PA,4,.29418346,.42261156
3229,Albright College,Private Non-profit,Selective private,Four-year,PA,5,.32394081,.42587715
3806,Alderson Broaddus University,Private Non-profit,Selective private,Four-year,WV,1,.12749578,.21464056
3806,Alderson Broaddus University,Private Non-profit,Selective private,Four-year,WV,2,.234915,.19754557
3806,Alderson Broaddus University,Private Non-profit,Selective private,Four-year,WV,3,.28003561,.2572619
3806,Alderson Broaddus University,Private Non-profit,Selective private,Four-year,WV,4,.23765394,.31006789
3806,Alderson Broaddus University,Private Non-profit,Selective private,Four-year,WV,5,.11989974,.4277713
2668,Alfred University,Private Non-profit,Selective private,Four-year,NY,1,.065330885,.22609419
2668,Alfred University,Private Non-profit,Selective private,Four-year,NY,2,.12035545,.2873756
2668,Alfred University,Private Non-profit,Selective private,Four-year,NY,3,.19156954,.36975166
2668,Alfred University,Private Non-profit,Selective private,Four-year,NY,4,.26581183,.40613711
2668,Alfred University,Private Non-profit,Selective private,Four-year,NY,5,.35693237,.39532715
1111,Allan Hancock College,Public,Two-year (public and private not-for-profit),Two-year,CA,1,.1408916,.1381499
1111,Allan Hancock College,Public,Two-year (public and private not-for-profit),Two-year,CA,2,.18905991,.17748086
1111,Allan Hancock College,Public,Two-year (public and private not-for-profit),Two-year,CA,3,.23496437,.14274812
1111,Allan Hancock College,Public,Two-year (public and private not-for-profit),Two-year,CA,4,.25687888,.22632961
1111,Allan Hancock College,Public,Two-year (public and private not-for-profit),Two-year,CA,5,.1782054,.23728268
